id_area;municipio;area;localita;obj_id;codice;descrizione_codice;data_ini;LONG_X_4326;LAT_Y_4326;Location
4_245;4;245;vie Longanesi - Nervesa;64740;P214272;Tavolo da pic nic;2006/03/10;9.2168272151;45.4450733376;(45.4450733376, 9.2168272151)
4_245;4;245;vie Longanesi - Nervesa;64741;P214272;Tavolo da pic nic;2006/03/10;9.2167648511;45.4450164782;(45.4450164782, 9.2167648511)
4_245;4;245;vie Longanesi - Nervesa;64742;P214272;Tavolo da pic nic;2006/03/10;9.2170693963;45.4449374092;(45.4449374092, 9.2170693963)
4_245;4;245;vie Longanesi - Nervesa;64743;P214272;Tavolo da pic nic;2006/03/10;9.2170071601;45.4448805497;(45.4448805497, 9.2170071601)
4_245;4;245;vie Longanesi - Nervesa;64744;P214272;Tavolo da pic nic;2006/03/10;9.216936035;45.4448732138;(45.4448732138, 9.216936035)
4_245;4;245;vie Longanesi - Nervesa;64745;P214272;Tavolo da pic nic;2006/03/10;9.2167727088;45.4449647063;(45.4449647063, 9.2167727088)
2_221;2;221;vie Breda - Angeleri;104139;P214272;Tavolo da pic nic;2007/05/25;9.2133976468;45.5106574722;(45.5106574722, 9.2133976468)
2_221;2;221;vie Breda - Angeleri;104140;P214272;Tavolo da pic nic;2007/05/25;9.2134403689;45.5107492938;(45.5107492938, 9.2134403689)
7_338;7;338;parco Annarumma Antonio;111241;P214272;Tavolo da pic nic;2008/06/04;9.1175176236;45.4594987115;(45.4594987115, 9.1175176236)
7_338;7;338;parco Annarumma Antonio;111242;P214272;Tavolo da pic nic;2008/06/04;9.1174972023;45.4594832066;(45.4594832066, 9.1174972023)
7_338;7;338;parco Annarumma Antonio;111243;P214272;Tavolo da pic nic;2008/06/04;9.1182731216;45.459936369;(45.459936369, 9.1182731216)
7_338;7;338;parco Annarumma Antonio;111244;P214272;Tavolo da pic nic;2008/06/04;9.1182455501;45.4599266825;(45.4599266825, 9.1182455501)
7_261;7;261;via Molinetto;113121;P214272;Tavolo da pic nic;2008/09/11;9.0696094172;45.4920983181;(45.4920983181, 9.0696094172)
7_261;7;261;via Molinetto;113122;P214272;Tavolo da pic nic;2008/09/11;9.0696366253;45.4920674182;(45.4920674182, 9.0696366253)
7_261;7;261;via Molinetto;113123;P214272;Tavolo da pic nic;2008/09/11;9.0696992002;45.4920730246;(45.4920730246, 9.0696992002)
6_175;6;175;parco Giussani Don Luigi;113738;P214272;Tavolo da pic nic;2008/10/03;9.165907692;45.4584609793;(45.4584609793, 9.165907692)
6_175;6;175;parco Giussani Don Luigi;113739;P214272;Tavolo da pic nic;2008/10/03;9.1666580679;45.4577322317;(45.4577322317, 9.1666580679)
5_108;5;108;via Don Rodrigo;113812;P214272;Tavolo da pic nic;2008/11/24;9.1712441644;45.4334630698;(45.4334630698, 9.1712441644)
5_108;5;108;via Don Rodrigo;113813;P214272;Tavolo da pic nic;2008/11/24;9.1713057565;45.4334563959;(45.4334563959, 9.1713057565)
5_108;5;108;via Don Rodrigo;113814;P214272;Tavolo da pic nic;2008/11/24;9.1712780799;45.433438928;(45.433438928, 9.1712780799)
6_121;6;121;via degli Anemoni - Gigli - dei Giacinti - Primaticcio;114367;P214272;Tavolo da pic nic;2008/10/04;9.1327473587;45.4532988937;(45.4532988937, 9.1327473587)
6_121;6;121;via degli Anemoni - Gigli - dei Giacinti - Primaticcio;114368;P214272;Tavolo da pic nic;2008/10/04;9.132808577;45.4533160667;(45.4533160667, 9.132808577)
6_121;6;121;via degli Anemoni - Gigli - dei Giacinti - Primaticcio;114369;P214272;Tavolo da pic nic;2008/10/04;9.132800271;45.4533648159;(45.4533648159, 9.132800271)
8_013;8;13;giardino Ilaria Alpi;115991;P214272;Tavolo da pic nic;2009/04/16;9.0974001205;45.5031901936;(45.5031901936, 9.0974001205)
8_013;8;13;giardino Ilaria Alpi;115992;P214272;Tavolo da pic nic;2009/04/16;9.0975316554;45.5031707731;(45.5031707731, 9.0975316554)
8_013;8;13;giardino Ilaria Alpi;115993;P214272;Tavolo da pic nic;2009/04/16;9.097498323;45.503073449;(45.503073449, 9.097498323)
8_013;8;13;giardino Ilaria Alpi;115994;P214272;Tavolo da pic nic;2009/04/16;9.0973868385;45.5030816169;(45.5030816169, 9.0973868385)
4_066;4;66;via Serrati;116003;P214272;Tavolo da pic nic;2009/04/07;9.2619026255;45.4406027591;(45.4406027591, 9.2619026255)
4_066;4;66;via Serrati;116004;P214272;Tavolo da pic nic;2009/04/07;9.2618835643;45.4405255357;(45.4405255357, 9.2618835643)
4_066;4;66;via Serrati;116005;P214272;Tavolo da pic nic;2009/04/07;9.2619026255;45.4406027591;(45.4406027591, 9.2619026255)
9_404;9;404;viale Cà Granda - Testi - Guarini Matteucci;116059;P214272;Tavolo da pic nic;2009/05/22;9.1993417516;45.5061784327;(45.5061784327, 9.1993417516)
9_404;9;404;viale Cà Granda - Testi - Guarini Matteucci;116060;P214272;Tavolo da pic nic;2009/05/22;9.199270249;45.5061687177;(45.5061687177, 9.199270249)
6_122;6;122;via Odazio;116312;P214272;Tavolo da pic nic;2007/05/01;9.13490341;45.447964643;(45.447964643, 9.13490341)
6_122;6;122;via Odazio;116313;P214272;Tavolo da pic nic;2007/05/01;9.134929719;45.4479220452;(45.4479220452, 9.134929719)
5_265;5;265;via Pescara;116746;P214272;Tavolo da pic nic;2009/07/29;9.1812014629;45.4006397944;(45.4006397944, 9.1812014629)
7_385;7;385;via Budrio;117109;P214272;Tavolo da pic nic;2009/06/16;9.0801628085;45.4645945924;(45.4645945924, 9.0801628085)
7_385;7;385;via Budrio;117110;P214272;Tavolo da pic nic;2009/06/16;9.0802724987;45.4646178144;(45.4646178144, 9.0802724987)
7_385;7;385;via Budrio;117111;P214272;Tavolo da pic nic;2009/06/16;9.0803022256;45.4645483005;(45.4645483005, 9.0803022256)
7_385;7;385;via Budrio;117112;P214272;Tavolo da pic nic;2009/06/16;9.0801914572;45.4645253185;(45.4645253185, 9.0801914572)
7_385;7;385;via Budrio;117113;P214272;Tavolo da pic nic;2009/06/16;9.0792171635;45.4644073769;(45.4644073769, 9.0792171635)
7_385;7;385;via Budrio;117114;P214272;Tavolo da pic nic;2009/06/16;9.0792482894;45.4644149033;(45.4644149033, 9.0792482894)
9_119;9;119;via Baldinucci;119428;P214272;Tavolo da pic nic;2009/06/11;9.1682232931;45.5039478268;(45.5039478268, 9.1682232931)
9_119;9;119;via Baldinucci;119429;P214272;Tavolo da pic nic;2009/06/11;9.1682720768;45.5039796687;(45.5039796687, 9.1682720768)
9_119;9;119;via Baldinucci;119430;P214272;Tavolo da pic nic;2009/06/11;9.1683273104;45.5040042429;(45.5040042429, 9.1683273104)
8_068;8;68;parco Monte Stella;119693;P214272;Tavolo da pic nic;2010/03/02;9.1359388352;45.4869905126;(45.4869905126, 9.1359388352)
8_068;8;68;parco Monte Stella;119694;P214272;Tavolo da pic nic;2010/03/02;9.1360863169;45.4871235609;(45.4871235609, 9.1360863169)
8_031;8;31;giardino Sergio Vieira De Mello;119724;P214272;Tavolo da pic nic;2010/03/18;9.1175654506;45.4938597987;(45.4938597987, 9.1175654506)
8_031;8;31;giardino Sergio Vieira De Mello;119725;P214272;Tavolo da pic nic;2010/03/18;9.1175623907;45.493921254;(45.493921254, 9.1175623907)
8_031;8;31;giardino Sergio Vieira De Mello;119726;P214272;Tavolo da pic nic;2010/03/18;9.1176269503;45.4938866626;(45.4938866626, 9.1176269503)
5_266;5;266;vie Balduccio da Pisa - Calabiana;119938;P214272;Tavolo da pic nic;2010/03/15;9.2082193306;45.4425458628;(45.4425458628, 9.2082193306)
5_266;5;266;vie Balduccio da Pisa - Calabiana;119939;P214272;Tavolo da pic nic;2010/03/15;9.2082295211;45.4425978226;(45.4425978226, 9.2082295211)
3_165;3;165;via Don Calabria;121043;P214272;Tavolo da pic nic;2010/06/10;9.240006757;45.4984107727;(45.4984107727, 9.240006757)
3_165;3;165;via Don Calabria;121044;P214272;Tavolo da pic nic;2010/06/10;9.2399823721;45.4983828323;(45.4983828323, 9.2399823721)
3_165;3;165;via Don Calabria;121045;P214272;Tavolo da pic nic;2010/06/10;9.2399635727;45.49842556;(45.49842556, 9.2399635727)
3_165;3;165;via Don Calabria;121046;P214272;Tavolo da pic nic;2010/06/10;9.239941163;45.4983998994;(45.4983998994, 9.239941163)
