id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1;Agenzia Viaggi 5 Giornate;Agenzia viaggi;1932;Piazza Cinque Giornate;3;1;4;GUASTALLA;9.20700450000004;45.46279800000008;(45.46279800000008, 9.20700450000004)
2;a Santa Lucia;Ristorante;1929;Via San Pietro All'Orto;3;1;1;DUOMO;9.195601500000066;45.46580400000005;(45.46580400000005, 9.195601500000066)
3;A. Brambilla;Sartoria per uomo, divise e berretti;1926;Via Larga;8;1;1;DUOMO;9.193036500000062;45.46225800000008;(45.46225800000008, 9.193036500000062)
4;Acconciature Lui e Lei;Parrucchiere, estetista;1936;Via M. Gonzaga;6;1;1;DUOMO;9.188770500000032;45.46151100000003;(45.46151100000003, 9.188770500000032)
5;Adamas Gioielli;Gioielleria, oreficeria, orologeria;1934;Via Dogana;2;1;1;DUOMO;9.189099000000056;45.46333800000008;(45.46333800000008, 9.189099000000056)
6;Agenzia Ecclesiastica Arcivescovile Tricella;Articoli religiosi;1888;Largo Schuster;1;1;1;DUOMO;9.19256850000005;45.46259100000003;(45.46259100000003, 9.19256850000005)
7;Agenzia Viaggi 5 Giornate;Agenzia Viaggi;1932;Piazza Cinque Giornate;3;1;4;GUASTALLA;9.20700450000004;45.46279800000008;(45.46279800000008, 9.20700450000004)
8;Al Pascià;Articoli per fumatori;1905;Via Torino;61;1;1;DUOMO;9.182875500000023;45.460593000000074;(45.460593000000074, 9.182875500000023)
9;Alla Collina Pistoiese;Ristorante;1911;Via Amedei;1;1;1;DUOMO;9.186430500000029;45.46033200000005;(45.46033200000005, 9.186430500000029)
10;Amleto Missaglia;Argento, cristalli e porcellane;1884;Via E. De Amicis;53;1;7;MAGENTA - S. VITTORE;9.174330000000054;45.460773000000074;(45.460773000000074, 9.174330000000054)
11;Antica Barbieria Colla;Barbiere;1904;Via G. Morone;3;1;1;DUOMO;9.191835000000026;45.46810800000003;(45.46810800000003, 9.191835000000026)
12;Antica Drogheria di via Cappuccio;Drogheria;1893;Via Cappuccio;18;1;1;DUOMO;9.17940150000004;45.46345500000007;(45.46345500000007, 9.17940150000004)
13;Antica Farmacia di Brera;Farmacia;1812;Via Fiori Oscuri;13;1;2;BRERA;9.189202500000022;45.47260800000004;(45.47260800000004, 9.189202500000022)
14;Antica Farmacia Foglia;Farmacia;1835;Via San Calimero;1;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.193306500000062;45.45739800000007;(45.45739800000007, 9.193306500000062)
15;Antica Osteria Milanese;Ristorante;1950;Via Dante;15;1;1;DUOMO;9.183226500000046;45.46733400000005;(45.46733400000005, 9.183226500000046)
16;Archenti;Gioielleria;1887;P.zza Duomo;19;1;1;DUOMO;9.188721000000044;45.464841000000035;(45.464841000000035, 9.188721000000044)
17;Argenteria Bernasconi;Argenteria, oreficeria;1872;Gall. Vittorio Emanuele II;33;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
18;Argenteria Galbiati;Argenteria;1908;Viale Tibaldi;28/30;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.180378000000076;45.44330400000007;(45.44330400000007, 9.180378000000076)
19;Argenteria Galbiati;Argenteria;1908;Via Orefici;26;1;1;DUOMO;9.187033500000041;45.46471500000007;(45.46471500000007, 9.187033500000041)
20;Arienti Complementi d'Arredo;Vendita Arredi;1931;Via S. Sisto;5;1;1;DUOMO;9.181404000000043;45.46111500000006;(45.46111500000006, 9.181404000000043)
21;Aspesi;Ottico;1910;Largo Richini;1;1;1;DUOMO;9.19347300000004;45.46043100000003;(45.46043100000003, 9.19347300000004)
22;Baita del Formaggio di Fabio Re;Salumeria;1939;Via Sarpi Paolo;31;1;69;SARPI;9.175414500000045;45.48128400000007;(45.48128400000007, 9.175414500000045)
23;Bar Bianco;Bar;1960;Corso Venezia - Giardini Pubblici;22;1;4;GUASTALLA;9.20150196700007;45.47095951400007;(45.47095951400007, 9.20150196700007)
24;Bar Magenta;Bar;1907;Via G. Carducci;13;1;1;DUOMO;9.175531500000034;45.46552500000007;(45.46552500000007, 9.175531500000034)
25;Bar Marino;Bar Tabaccheria;1939;Via Marino;7;1;1;DUOMO;9.190327500000024;45.46633500000007;(45.46633500000007, 9.190327500000024)
26;Bar Mercurio;Bar tabacchi;1927;Via Dogana;3;1;1;DUOMO;9.188793000000032;45.46323000000007;(45.46323000000007, 9.188793000000032)
27;Bar Missori;Bar;1949;P.zza Missori;3;1;1;DUOMO;9.188172396000027;45.461041960000045;(45.461041960000045, 9.188172396000027)
28;Bar Ristorante Il Baretto;Bar Ristorante;1964;Via Senato;7;1;1;DUOMO;9.19832400000007;45.46938600000004;(45.46938600000004, 9.19832400000007)
29;Barbiere Di Modica Roberto;Parrucchiere;1952;Via Boccaccio Giovanni;9;1;7;MAGENTA - S. VITTORE;9.174127500000054;45.46766700000006;(45.46766700000006, 9.174127500000054)
30;Barbiere M. Delle Fave;Barbiere;1957;Via Gherardini;2;1;68;PAGANO;9.170190000000048;45.476919000000066;(45.476919000000066, 9.170190000000048)
31;Belloni Gioielleria;Gioielleria Orologeria;1926;Via A. Lamarmora;31;1;4;GUASTALLA;9.203742000000034;45.45741600000008;(45.45741600000008, 9.203742000000034)
32;Benito;Parrucchiere;1951;Via Rovello;1;1;2;BRERA;9.184558500000037;45.46694700000006;(45.46694700000006, 9.184558500000037)
33;Beretta;Casalinghi;1800;Via Bergamini;5;1;1;DUOMO;9.194049000000064;45.461988000000076;(45.461988000000076, 9.194049000000064)
34;Biancheria per la Casa Frette;Biancheria per la casa;1877;Via Andegari;18;1;2;BRERA;9.19141650000006;45.46914300000003;(45.46914300000003, 9.19141650000006)
35;Biffi;Ristorante, bar;1867;Gall. Vittorio Emanuele II;0;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
36;Bijoux de Paris;Bigiotteria;1953;Via Manzoni;12;1;1;DUOMO;9.191313000000036;45.468585000000076;(45.468585000000076, 9.191313000000036)
37;Birreria Cavour;Bar, birreria;1910;Via Santa Maria alla Porta;13;1;1;DUOMO;9.181480875000034;45.46510957900006;(45.46510957900006, 9.181480875000034)
38;Bolzani Cornici e Stampe;Cornici e stampe;1922;C.so Matteotti;20;1;1;DUOMO;9.196569000000068;45.46678500000007;(45.46678500000007, 9.196569000000068)
39;Bonati & Beneggi;Arredamento e Tessuti;1930;Via Enrico Toti;4;1;7;MAGENTA - S. VITTORE;9.166441500000076;45.46693800000003;(45.46693800000003, 9.166441500000076)
40;Boscani Nova;Tende in legno e tappeti;1904;Via Santa Sofia;1;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19300050000004;45.457299000000035;(45.457299000000035, 9.19300050000004)
41;Broggi;Abbigliamento da lavoro, teleria;1947;Via Dogana;2;1;1;DUOMO;9.189099000000056;45.46333800000008;(45.46333800000008, 9.189099000000056)
42;Cadè;Abbigliamento;1926;Galleria Vittorio Emanuele;5;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
43;Caffè e Tabacchi Molino delle Armi;Bar Tabacchi;1936;Via S. Croce;2;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.183429000000046;45.45658800000007;(45.45658800000007, 9.183429000000046)
44;Caffè Pasticceria Cucchi;Pasticceria Caffetteria;1934;Corso Genova;1;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.177403500000025;45.45835200000005;(45.45835200000005, 9.177403500000025)
45;Camiceria Ambrosiana;Camicie su misura;1954;Via Soncino;1;1;1;DUOMO;9.182614500000057;45.46021500000006;(45.46021500000006, 9.182614500000057)
